"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,20,143859159,28093068
2019,19,143859195,28099301
2019,4,143032727,27831014
2019,12,143029506,27843196
2019,20,143029555,27843203
2019,9,143029590,27843210
2019,12,143029712,27843221
2019,3,143029717,27843222
2019,12,143029726,27843223
2019,20,143029738,27843226
2019,3,143032863,27831035
2019,12,143029758,27843230
2019,12,143029782,27843236
2019,12,143029784,27843237
2019,3,143029789,27843238
2019,12,143029813,27843241
2019,12,143029860,27843244
2019,12,143029862,27843245
2019,12,143032963,27843246
2019,12,143029868,27843247
2019,20,143029874,27843248
2019,12,143029883,27843249
2019,22,143029886,27843250
2019,12,143029897,27843251
2019,12,143029572,27843206
2019,18,143029634,27843216
2019,12,143029909,27843252
2019,12,143029925,27843253
2019,12,143029926,27843254
2019,12,143029929,27843255
2019,12,143029932,27843256
2019,3,143029934,27843257
2019,12,143029940,27843258
2019,20,143029951,27843261
2019,12,143029956,27843262
2019,20,143029957,27843263
2019,20,143029970,27843264
2019,12,143029976,27843265
2019,20,143029987,27843267
2019,12,143029989,27843268
2019,12,143029996,27843270
2019,12,143030053,27843271
2019,12,143030067,27843272
2019,12,143030071,27843273
2019,12,143030073,27843274
2019,20,143030105,27843277
2019,12,143030111,27843278
2019,20,143030119,27843279
2019,20,143030128,27843280
2019,12,143030149,27843283
2019,12,143030166,27843284
2019,20,143030169,27843285
2019,12,143030171,27843286
2019,12,143030173,27843287
2019,3,143030195,27843288
2019,12,143030201,27843289
2019,20,143030207,27843291
2019,12,143030211,27843292
2019,12,143030215,27843293
2019,12,143030221,27843294
2019,12,143030231,27843295
2019,12,143030234,27843296
2019,12,143030243,27843297
2019,12,143030257,27843298
2019,12,143030270,27843299
2019,12,143030275,27843300
2019,22,143030288,27843301
2019,12,143030291,27843302
2019,12,143030301,27843303
2019,12,143030304,27843304
2019,12,143030318,27843305
2019,12,143030321,27843306
2019,20,143030326,27843307
2019,20,143030335,27843308
2019,12,143030348,27843310
2019,12,143030353,27843311
2019,12,143030363,27843312
2019,12,143030364,27843313
2019,12,143030374,27843316
2019,20,143030379,27843317
2019,20,143030386,27843319
2019,12,143030398,27843321
2019,12,143030412,27843322
2019,12,143030419,27843323
2019,12,143030423,27843324
2019,12,143030426,27843326
2019,12,143030435,27843327
2019,12,143030445,27843328
2019,12,143030449,27843329
2019,12,143030454,27843330
2019,20,143030466,27843331
2019,12,143030473,27843332
2019,12,143030486,27843335
2019,12,143030495,27843337
2019,12,143030500,27843338
2019,20,143029609,27843211
2019,20,143029644,27843218
2019,2,143032798,27831026
2019,12,143038240,27839784
2019,12,143038239,27839783
2019,12,143032845,27831031
2019,12,143029737,27843225
2019,12,143029767,27843231
2019,12,143029768,27843232
2019,12,143029770,27843233
2019,12,143029776,27843235
2019,12,143029807,27843239
2019,3,143032947,27831048
2019,12,143029528,27843200
2019,12,143032735,27831015
2019,12,143029683,27843220
2019,2,143032839,27831030
2019,19,143032849,27831032
2019,20,143029559,27843204
2019,12,143029573,27843207
2019,12,142230595,27602953
2019,12,142230608,27602954
2019,19,142230736,27602979
2019,12,142230816,27602992
2019,12,142230820,27602993
2019,12,142230935,27603010
2019,20,142230948,27603014
2019,12,142230957,27603015
2019,12,142230961,27603016
2019,11,142230996,27603021
2019,9,142230998,27603022
2019,10,142231030,27603028
2019,12,142231053,27603030
2019,12,142231122,27603037
2019,12,142175702,27584067
2019,10,142175705,27584068
2019,20,142175713,27584069
2019,12,142231140,27603039
2019,20,145519756,28572714
2019,20,145499973,28560782
2019,2,145499989,28560787
2019,2,145499988,28572726
2019,12,145519868,28572737
2019,18,145519895,28572739
2019,20,145500072,28560805
2019,12,145519929,28572745
2019,20,145520035,28572763
2019,20,145500200,28560830
2019,20,145520081,28572768
2019,18,145500208,28560832
2019,5,145520150,28560849
2019,12,145520158,28560855
2019,11,145500308,28560854
2019,20,145520217,28572793
2019,18,145500403,28560871
2019,12,145520268,28572800
2019,3,145500495,28560887
2019,19,145500532,28572816
2019,20,145500563,28560899
2019,12,145520428,28572824
2019,12,145520452,28560904
2019,18,145520459,28572826
2019,20,145520487,28572832
2019,12,145500687,28560909
2019,12,145500701,28560911
2019,18,145520521,28572837
2019,19,145500775,28560917
2019,20,145500794,28572847
2019,20,145500805,28572848
2019,12,145500823,28560923
2019,20,145500862,28572860
2019,20,145520671,28572864
2019,10,145500923,28560934
2019,20,145520709,28560935
2019,12,145501008,28560946
2019,19,145501010,28560947
2019,18,145520772,28560952
2019,10,145520805,28572882
2019,20,145520809,28572883
2019,3,145501113,28560971
2019,20,145501141,28560976
2019,20,145521220,28560996
2019,10,145521255,28561006
2019,20,145520930,28572904
2019,12,145521318,28561015
2019,12,145521329,28561017
2019,12,145521361,28561023
2019,18,145521491,28561035
2019,12,145521627,28561056
2019,2,145521712,28572951
2019,12,145526280,28572956
