"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,139034468,113878280,51,"C",20,,""
2019,139039649,113874056,27,"C",13,,""
2019,139044261,113878293,56,"C",20,,""
2019,139039668,113878296,11,"C",7,,""
2019,139039685,113874085,16,"C",10,,""
2019,139034485,113874085,35,"C",10,,""
2019,139039701,113874095,5,"C",20,,""
2019,139039702,113874096,45,"C",13,,""
2019,139039703,113874097,45,"C",13,,""
2019,139039704,113874098,44,"C",20,,""
2019,139039705,113874099,49,"C",20,,"N"
2019,139039706,113874100,5,"C",20,,""
2019,139034519,113874110,41,"C",25,,""
2019,139039741,113878328,35,"C",22,,""
2019,139034539,113878328,16,"C",22,,""
2019,139044311,113874130,27,"C",11,,""
2019,139039746,113878338,12,"C",20,,""
2019,139039747,113878338,45,"C",20,,""
2019,139039750,113874134,14,"C",20,,""
2019,139034561,113874140,21,"C",20,,""
2019,139044340,113878354,49,"C",20,,"F"
2019,139044339,113878354,5,"C",20,,""
2019,139039764,113874141,49,"C",25,,"N"
2019,139044346,113878360,35,"C",22,,""
2019,139044347,113878360,16,"C",22,,""
2019,139039769,113874142,45,"C",20,,""
2019,139039773,113874144,5,"C",25,,""
2019,139039774,113874146,49,"C",20,,"N"
2019,139039776,113878376,5,"A",20,,""
2019,139034460,113868767,45,"C",12,,""
2019,139044233,113878274,16,"C",13,,""
2019,139044234,113878274,35,"C",13,,""
2019,139039652,113874060,5,"C",20,,""
2019,139044241,113874062,45,"C",41,,""
2019,139039653,113874063,45,"C",20,,""
2019,139044245,113878279,45,"C",20,,""
2019,139034472,113874065,49,"C",20,,"N"
2019,139044258,113874069,51,"C",20,,""
2019,139044257,113874069,5,"C",19,,""
2019,139044268,113878300,14,"C",20,,""
2019,139039726,113874111,8,"C",20,,""
2019,139034525,113874120,45,"C",11,,""
2019,139044296,113868822,45,"C",21,,""
2019,139039979,113878527,5,"C",20,,""
2019,139034670,113874316,45,"C",13,,""
